China	389,000,000
United States	245,000,000
Japan	99,182,000
Brazil	75,982,000
Germany	65,125,000
India	61,338,000
United Kingdom	51,444,000
France	45,262,000
Nigeria	43,989,000
Russia	40,853,000
Korea, South	39,400,000
Mexico	31,020,000
Italy	29,235,000
Spain	28,119,000
Turkey	27,233,000
Canada	26,960,000
Vietnam	23,382,000
Colombia	22,538,000
Poland	22,452,000
Pakistan	20,431,000
Egypt	20,136,000
Indonesia	20,000,000
Thailand	17,483,000
Taiwan	16,147,000
Australia	15,810,000
Malaysia	15,355,000
Netherlands	14,872,000
Argentina	13,694,000
Morocco	13,213,000
Saudi Arabia	9,774,000
Peru	9,158,000
Venezuela	8,918,000
Sweden	8,398,000
Philippines	8,278,000
Iran	8,214,000
Belgium	8,113,000
Romania	7,787,000
Ukraine	7,770,000
Chile	7,009,000
Czech Republic	6,681,000
Hungary	6,176,000
Switzerland	6,152,000
Austria	6,143,000
Kazakhstan	5,299,000
Portugal	5,168,000
Greece	4,971,000
Hong Kong	4,873,000
Denmark	4,750,000
Algeria	4,700,000
Uzbekistan	4,689,000
Israel	4,525,000
Syria	4,469,000
Norway	4,431,000
South Africa	4,420,000
Finland	4,393,000
Sudan	4,200,000
Serbia	4,107,000
Slovakia	4,063,000
Kenya	3,996,000
Tunisia	3,500,000
United Arab Emirates	3,449,000
New Zealand	3,400,000
Bulgaria	3,395,000
Ecuador	3,352,000
Singapore	3,235,000
Uganda	3,200,000
Ireland	3,042,000
Dominican Republic	2,701,000
Belarus	2,643,000
Azerbaijan	2,420,000
Yemen	2,349,000
Guatemala	2,279,000
Croatia	2,234,000
Kyrgyzstan	2,195,000
Lithuania	1,964,000
Senegal	1,818,000
Sri Lanka	1,777,000
Jordan	1,642,000
Cuba	1,606,000
Jamaica	1,581,000
Latvia	1,504,000
Costa Rica	1,485,000
Oman	1,465,000
Zimbabwe	1,423,000
Bosnia and Herzegovina	1,422,000
Uruguay	1,405,000
Gaza Strip	1,379,000
West Bank	1,379,000
Moldova	1,333,000
Georgia	1,300,000
Albania	1,300,000
Slovenia	1,298,000
Ghana	1,297,000
Paraguay	1,105,000
Bolivia	1,103,000
Kuwait	1,100,000
Macedonia	1,057,000
Haiti	1,000,000
Lebanon	1,000,000
Puerto Rico	1,000,000
Afghanistan	1,000,000
Estonia	971,700
Cote d'Ivoire	967,300
Panama	959,800
Zambia	816,200
Cameroon	749,600
El Salvador	746,000
Honduras	731,700
Malawi	716,400
Tajikistan	700,000
Tanzania	678,000
Bangladesh	617,300
Mozambique	613,600
Angola	606,700
Trinidad and Tobago	593,000
Nepal	577,800
Qatar	563,800
Rwanda	450,000
Ethiopia	447,300
Cyprus	433,900
Luxembourg	424,500
Bahrain	419,500
Togo	356,300
Libya	353,900
Mongolia	330,000
Iraq	325,900
Madagascar	319,900
Brunei	314,900
Iceland	301,600
Laos	300,000
Mauritius	290,000
Congo, Democratic Republic of the	290,000
Montenegro	280,000
Macau	270,200
Mali	249,800
Congo, Republic of the	245,200
Malta	240,600
Armenia	208,200
Benin	200,100
Eritrea	200,000
Nicaragua	199,800
Guyana	189,600
Barbados	188,000
Burkina Faso	178,100
Chad	168,100
Suriname	163,000
Burundi	157,800
Cabo Verde	150,000
Saint Lucia	142,900
Gambia, The	130,100
Namibia	127,500
Papua New Guinea	125,000
French Polynesia	120,000
Botswana	120,000
Niger	115,900
Bahamas, The	115,800
Fiji	114,200
Burma	110,000
Somalia	106,000
Gabon	98,800
Guinea	95,000
Swaziland	90,100
Guam	90,000
Maldives	86,400
New Caledonia	85,000
Turkmenistan	80,400
Cambodia	78,500
Lesotho	76,800
Saint Vincent and the Grenadines	76,000
Mauritania	75,000
Andorra	67,100
Antigua and Barbuda	65,000
Bermuda	54,000
Bhutan	50,000
Guernsey	48,300
Faroe Islands	37,500
Guinea-Bissau	37,100
Belize	36,000
Greenland	36,000
Seychelles	32,000
Virgin Islands	30,000
Jersey	29,500
Dominica	28,000
Sao Tome and Principe	26,700
Djibouti	25,900
Grenada	25,000
Comoros	24,300
Aruba	24,000
Cayman Islands	23,000
Liechtenstein	23,000
Monaco	23,000
Central African Republic	22,600
Gibraltar	20,200
Liberia	20,000
San Marino	17,000
Micronesia, Federated States of	17,000
Saint Kitts and Nevis	17,000
Vanuatu	17,000
Sierra Leone	14,900
Equatorial Guinea	14,400
Solomon Islands	10,000
Samoa	9,000
Tonga	8,400
Kiribati	7,800
Cook Islands	6,000
Tuvalu	4,200
British Virgin Islands	4,000
Anguilla	3,700
Falkland Islands (Islas Malvinas)	2,900
Marshall Islands	2,200
Timor-Leste	2,100
Wallis and Futuna	1,300
Montserrat	1,200
Niue	1,100
Saint Helena, Ascension, and Tristan da Cunha	900
Tokelau	800
Christmas Island	464
